object_id,mjd,magnitude,magnitude_err,filter,magnitude_system,time_system,galactic_extinction_corrected,k_corrected
sn-2004ef,53255.19,17.970,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53255.19,17.875,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53256.15,17.756,0.007,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53256.15,17.644,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53257.16,17.552,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53257.16,17.476,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53258.13,17.416,0.008,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53258.13,17.334,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53259.13,17.273,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53259.13,17.209,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53260.16,17.182,0.006,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53260.16,17.104,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53261.10,17.113,0.007,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53261.10,17.028,0.006,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53262.07,17.082,0.006,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53262.07,16.994,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53263.10,17.060,0.009,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53263.10,16.949,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53264.10,17.054,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53264.10,16.919,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53265.15,17.087,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53265.15,16.910,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53266.13,17.105,0.005,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53266.13,16.914,0.005,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53267.12,17.149,0.007,csp-dr3-b,Vega,MJD,false,false
sn-2004ef,53267.12,16.929,0.007,csp-dr3-v,Vega,MJD,false,false
sn-2004ef,53268.14,17.215,0.005,csp-dr3-b,Vega,MJD,false,false
